date,open,high,low,close,volume,turnover
2025-11-10 00:00:00,26319.4,26668.89,26302.93,26649.06,0,214787845707.169
2025-11-11 00:00:00,26748.09,26788.43,26511.25,26696.41,0,210231454942.872
2025-11-12 00:00:00,26754.93,27016.4,26739.09,26922.73,0,236395162629.142
2025-11-13 00:00:00,26779.48,27188.81,26733.21,27073.03,0,270673066162.748
2025-11-14 00:00:00,26660.31,26881.88,26535.42,26572.46,0,232788089129.807
2025-11-17 00:00:00,26441.7,26531.8,26252.36,26384.28,0,217612724416.557
2025-11-18 00:00:00,26172.27,26188.82,25821.84,25930.03,0,242111639876.137
2025-11-19 00:00:00,25954.23,26045.37,25742.07,25830.65,0,211426433839.481
2025-11-20 00:00:00,25999.78,26046.76,25692.13,25835.57,0,245135668797.356
2025-11-21 00:00:00,25460.42,25483.67,25178.63,25220.02,0,285702283007.646
2025-11-24 00:00:00,25452.87,25770.45,25369.29,25716.5,0,302641831242.344
2025-11-25 00:00:00,25948.9,26069.22,25740.54,25894.55,0,231148531528.922
2025-11-26 00:00:00,26046.74,26136.27,25907.06,25928.08,0,207077513477.638
2025-11-27 00:00:00,25945.54,26123.69,25822.66,25945.93,0,204728068297.719
2025-11-28 00:00:00,26011.06,26011.06,25807.55,25858.89,0,146204011982.963
2025-12-01 00:00:00,25945.87,26179.72,25913.98,26033.26,0,200884232194.172
2025-12-02 00:00:00,26188.55,26264.13,25989.45,26095.05,0,178246774194.532
2025-12-03 00:00:00,25980.89,25996.88,25724.82,25760.73,0,164360670117.993
2025-12-04 00:00:00,25804.01,25990.73,25649.3,25935.9,0,179305874091.774
2025-12-05 00:00:00,25833.11,26131.61,25758.17,26085.08,0,210472620145.565
2025-12-08 00:00:00,26067.86,26151.46,25755.01,25765.36,0,206230253464.517
2025-12-09 00:00:00,25780.97,25820.31,25386.58,25434.23,0,210235876842.595
2025-12-10 00:00:00,25435.49,25540.78,25257.61,25540.78,0,193391858894.378
2025-12-11 00:00:00,25710.61,25801.34,25471.5,25530.51,0,182477057541.499
2025-12-12 00:00:00,25761.41,26006.47,25697.43,25976.79,0,242656945339.557
2025-12-15 00:00:00,25718.14,25824.44,25609.28,25628.88,0,204288665219.723
2025-12-16 00:00:00,25547.92,25547.92,25086.54,25235.41,0,201527765645.054
2025-12-17 00:00:00,25243.59,25494.94,25168.19,25468.78,0,183140540079.3
2025-12-18 00:00:00,25330.83,25511.84,25261.38,25498.13,0,162377451431.636
2025-12-19 00:00:00,25634.22,25747.01,25545.92,25690.53,0,221186355342.852
2025-12-22 00:00:00,25795.94,25859.61,25671.33,25801.77,0,169777036627.262
2025-12-23 00:00:00,25875.85,25927.66,25726.45,25774.14,0,157131425682.785
2025-12-24 00:00:00,25780.09,25890.87,25772.87,25818.93,0,92524183098.664
2025-12-29 00:00:00,25928.89,26082.94,25630.75,25635.23,0,224508358383.106
2025-12-30 00:00:00,25636.4,25930.22,25611.23,25854.6,0,199769065174.516
2025-12-31 00:00:00,25801.49,25808.52,25554.31,25630.54,0,118965851132.072
2026-01-02 00:00:00,25717.42,26345.63,25717.42,26338.47,0,140863936025.779
2026-01-05 00:00:00,26361.44,26445.5,26256.0,26347.24,0,283462308936.924
2026-01-06 00:00:00,26502.4,26858.13,26498.36,26710.45,0,291758187652.619
2026-01-07 00:00:00,26601.83,26616.94,26313.51,26458.95,0,276133714363.03
2026-01-08 00:00:00,26302.78,26305.69,25960.34,26149.31,0,268274751780.155
2026-01-09 00:00:00,26272.54,26299.32,26114.41,26231.79,0,245129966729.35
2026-01-12 00:00:00,26376.84,26608.48,26187.76,26608.48,0,306223398889.079
2026-01-13 00:00:00,26958.52,27143.66,26729.54,26848.47,0,315192466971.443
2026-01-14 00:00:00,26971.97,27097.72,26780.27,26999.81,0,340393440645.032
2026-01-15 00:00:00,26972.36,27206.84,26808.35,26923.62,0,290455330183.23
2026-01-16 00:00:00,27094.85,27176.31,26741.54,26844.96,0,255078624878.628
2026-01-19 00:00:00,26641.6,26715.58,26533.67,26563.9,0,225688504811.602
2026-01-20 00:00:00,26544.9,26638.55,26363.86,26487.51,0,237765786868.549
2026-01-21 00:00:00,26397.04,26692.78,26397.04,26585.06,0,250451419798.71
2026-01-22 00:00:00,26750.51,26779.22,26499.14,26629.96,0,234860062904.837
2026-01-23 00:00:00,26861.36,26895.94,26689.73,26749.51,0,240872174033.8
2026-01-26 00:00:00,26844.04,26911.44,26619.83,26765.52,0,261698846190.651
2026-01-27 00:00:00,26863.15,27188.9,26829.71,27126.95,0,254372617922.741
2026-01-28 00:00:00,27325.89,27826.91,27258.1,27826.91,0,361523100192.386
2026-01-29 00:00:00,27627.11,28056.1,27611.9,27968.09,0,331994167276.748
2026-01-30 00:00:00,27785.98,27887.24,27384.02,27387.11,0,301612398983.308
2026-02-02 00:00:00,27097.34,27100.09,26507.62,26775.57,0,347885741254.918
2026-02-03 00:00:00,26995.76,27126.48,26431.8,26834.77,0,335152488424.911
2026-02-04 00:00:00,26797.05,27004.22,26593.18,26847.32,0,285432803936.15
2026-02-05 00:00:00,26627.95,26919.39,26410.77,26885.24,0,315112240337.532
2026-02-06 00:00:00,26354.34,26710.34,26295.03,26559.95,0,247865325139.495
